,equity
2019-01-01,100000.0
2019-01-02,100000.0
2019-01-03,100000.0
2019-01-04,100000.0
2019-01-05,100000.0
2019-01-06,100000.0
2019-01-07,96743.4987234925
2019-01-08,97305.66826796415
2019-01-09,97334.13389475542
2019-01-10,85964.6055962563
2019-01-11,84918.54846280385
2019-01-12,84722.3123830482
2019-01-13,80981.58798935454
2019-01-14,86372.62027928147
2019-01-15,83003.94456167206
2019-01-16,84188.65123452457
2019-01-17,84931.18277218487
2019-01-18,83656.87604718823
2019-01-19,85746.68288902007
2019-01-20,82397.04076903607
2019-01-21,81850.39130300231
2019-01-22,84156.16662807089
2019-01-23,83775.92995948161
2019-01-24,84073.14918318638
2019-01-25,83296.23693029453
2019-01-26,82514.11065494723
2019-01-27,80119.78592565442
2019-01-28,75842.2022900031
2019-01-29,76262.85441231332
2019-01-30,77627.82419242135
2019-01-31,75355.64366472296
2019-02-01,76801.62762795157
2019-02-02,78410.15585377859
2019-02-03,76499.66210561994
2019-02-04,77709.9049183196
2019-02-05,77065.48499383268
2019-02-06,75714.58740715272
2019-02-07,75876.09752675958
2019-02-08,85753.26186782382
2019-02-09,86395.94480062394
2019-02-10,88010.18687183938
2019-02-11,86459.36212165197
2019-02-12,87403.84739048958
2019-02-13,88089.28769509657
2019-02-14,86495.21700499317
2019-02-15,86297.15776179094
2019-02-16,86977.89519575951
2019-02-17,89712.62717275973
2019-02-18,97434.55338562801
2019-02-19,98899.16478695198
2019-02-20,102494.56918975637
2019-02-21,99382.44981119168
2019-02-22,101161.26236275762
2019-02-23,106659.64292439366
2019-02-24,94570.58921846015
2019-02-25,97943.6614715973
2019-02-26,97123.31067351927
2019-02-27,95497.30111007269
2019-02-28,96540.83559445037
2019-03-01,96975.9806341385
2019-03-02,97386.46107462584
2019-03-03,96229.71804306272
2019-03-04,92788.22470593869
2019-03-05,99412.62299438124
2019-03-06,100321.40069214063
2019-03-07,100646.10579916905
2019-03-08,98804.1304029085
2019-03-09,100477.82512900265
2019-03-10,99790.9701090569
2019-03-11,98592.51595986984
2019-03-12,98973.88090136801
2019-03-13,98345.38079155589
2019-03-14,99316.66497791723
2019-03-15,102693.4126538472
2019-03-16,106576.51556792596
2019-03-17,105742.04706887603
2019-03-18,106181.43403476628
2019-03-19,106813.34276625191
2019-03-20,106945.77525189528
2019-03-21,104796.14677316514
2019-03-22,105715.2055742272
2019-03-23,107511.34611890712
2019-03-24,106569.88065522103
2019-03-25,104810.29767125782
2019-03-26,104986.95710162449
2019-03-27,109045.01074958529
2019-03-28,107687.08774488418
2019-03-29,108363.0519848936
2019-03-30,107522.03483993915
2019-03-31,107332.3463739388
2019-04-01,107691.5077672214
2019-04-02,128571.391395463
2019-04-03,135938.8693395571
2019-04-04,133465.80337946984
2019-04-05,139067.97940082237
2019-04-06,140930.92461216936
2019-04-07,144220.20626105662
2019-04-08,142320.53052134998
2019-04-09,138920.31789683856
2019-04-10,140840.6698417475
2019-04-11,129953.82428619121
2019-04-12,130250.2424290068
2019-04-13,129835.28051255093
2019-04-14,132567.20623075776
2019-04-15,130421.18421539635
2019-04-16,133131.8542182743
2019-04-17,133040.42821910285
2019-04-18,135897.74427860274
2019-04-19,133908.90105758753
2019-04-20,133229.78040573653
2019-04-21,129845.2787594955
2019-04-22,130587.13659274098
2019-04-23,130174.92060844236
2019-04-24,125747.11984472704
2019-04-25,118872.39478397308
2019-04-26,119930.14671145572
2019-04-27,120475.16759574304
2019-04-28,120123.1357507749
2019-04-29,117608.70004350795
2019-04-30,123912.2299501175
2019-05-01,123241.66863713461
2019-05-02,124356.05955311138
2019-05-03,129168.2717316602
2019-05-04,127973.86835691023
2019-05-05,126327.42250890317
2019-05-06,128060.84419604033
2019-05-07,128033.75822652565
2019-05-08,128315.46263165367
2019-05-09,127333.27977421226
2019-05-10,129771.1953695525
2019-05-11,146914.9727640064
2019-05-12,141878.4225085302
2019-05-13,149242.57338045747
2019-05-14,164433.89520230214
2019-05-15,178089.1288110608
2019-05-16,175745.33981646792
2019-05-17,164254.43256662757
2019-05-18,162607.9232589888
2019-05-19,179678.64847362423
2019-05-20,178276.41314052048
2019-05-21,180782.27237970164
2019-05-22,175473.81979614688
2019-05-23,180549.91816810047
2019-05-24,184786.94404912178
2019-05-25,181905.2142197503
2019-05-26,190423.52707975602
2019-05-27,198559.1499544303
2019-05-28,199225.41338565404
2019-05-29,198019.82395217745
2019-05-30,186210.1215333926
2019-05-31,191675.25466477138
2019-06-01,188388.54534512197
2019-06-02,192456.13634692458
2019-06-03,180491.16498248652
2019-06-04,171520.75294757544
2019-06-05,179959.76098373445
2019-06-06,184640.3116649646
2019-06-07,190639.4471705304
2019-06-08,188855.4814564365
