date,n_eligible,n_selected,n_orders,turnover_dollars,leverage_multiplier,equity_at_open
2019-01-07,6,6,6,95270.99731016558,1.0,100000.0
2019-01-14,6,6,6,4369.363821644542,1.0,80981.58798935454
2019-01-21,7,7,7,22481.904601851107,1.0,82397.04076903607
2019-01-28,7,7,7,2672.6828456449666,1.0,80119.78592565442
2019-02-04,6,6,7,20025.125719934666,1.0,76499.66210561994
2019-02-11,6,6,6,7528.743630528507,1.0,88010.18687183938
2019-02-18,6,6,6,5337.115679529218,1.0,89712.62717275973
2019-02-25,6,6,6,4799.034478857917,1.0,94570.58921846015
2019-03-04,6,6,6,2423.085139336612,1.0,96229.71804306272
2019-03-11,6,6,6,4228.151105216745,1.0,99790.9701090569
2019-03-18,6,6,6,4172.630663096147,1.0,105742.04706887603
2019-03-25,6,6,6,3311.3399802015047,1.0,106569.88065522103
2019-04-01,6,6,6,1705.865679425609,1.0,107332.3463739388
2019-04-08,6,6,6,22765.980806035626,1.0,144220.20626105662
2019-04-15,7,7,7,35468.51167390646,1.0,132567.20623075776
2019-04-22,6,6,7,34033.92389735707,1.0,129845.2787594955
2019-04-29,6,6,6,3254.0849696529526,1.0,120123.1357507749
2019-05-06,6,6,6,6602.435797735551,1.0,126327.42250890317
2019-05-13,7,7,7,39304.36023347782,1.0,141878.4225085302
2019-05-20,7,7,7,15485.455323282767,1.0,179678.64847362423
2019-05-27,7,7,7,8108.6908130782385,1.0,190423.52707975602
2019-06-03,7,7,7,5714.511548085424,1.0,192456.13634692458
2019-06-10,7,7,7,13949.459816385694,1.0,180523.65589806443
2019-06-17,7,7,7,17852.918137127705,1.0,212348.74050392778
2019-06-24,7,7,7,11480.534430495769,1.0,230360.68591084832
2019-07-01,7,7,7,53762.13795784664,1.0,240478.83043432535
2019-07-08,7,7,7,7934.8762156580015,1.0,245652.02050976298
2019-07-15,7,7,7,14482.108045238285,1.0,196679.55940112725
2019-07-22,7,7,7,12133.567907264818,1.0,202816.9277992261
2019-07-29,7,7,7,6767.431070389455,1.0,189718.84381142663
2019-08-05,7,7,7,7129.232028011039,1.0,202262.37876253334
2019-08-12,7,7,7,7251.628788029708,1.0,195666.1133220926
2019-08-19,7,7,7,9573.879872098936,1.0,184536.28298791338
2019-08-26,7,7,7,5221.942908342633,1.0,174845.07489290801
2019-09-02,7,7,7,4007.2193182431724,1.0,161999.04806280212
2019-09-09,7,7,7,5041.204206585966,1.0,168418.7903195893
2019-09-16,7,7,7,5351.367919052619,1.0,167487.39665861888
2019-09-23,7,7,7,7766.807878608715,1.0,177479.66879643602
2019-09-30,7,7,7,9377.450747798208,1.0,146046.25663866676
2019-10-07,7,7,7,8973.5730359965,1.0,153726.24819542325
2019-10-14,7,7,7,6614.021053448045,1.0,163960.5237176545
2019-10-21,7,7,7,3421.8400512904245,1.0,162977.76314633302
2019-10-28,7,7,7,7258.810743602831,1.0,176437.92351515396
2019-11-04,7,7,7,5826.350170359794,1.0,177540.49834529485
2019-11-11,7,7,7,11889.686614416572,1.0,186831.52804923547
2019-11-18,7,7,7,6700.672231694365,1.0,181242.35534221344
2019-11-25,7,7,7,6288.999997494721,1.0,142657.5732902797
2019-12-02,7,7,7,4263.090056280263,1.0,147865.60480823086
2019-12-09,7,7,7,2921.6166197092334,1.0,146476.34988805116
2019-12-16,7,7,7,2662.905999195779,1.0,141551.780221586
2019-12-23,7,7,7,64353.488213544,0.5,136443.0710209456
2019-12-30,7,7,7,2646.263661965854,0.5,136231.29779516222
