,equity
2023-01-01,100000.0
2023-01-02,101809.42348990939
2023-01-03,101840.75889338527
2023-01-04,103219.40329369514
2023-01-05,102055.96944271069
2023-01-06,103425.1214896608
2023-01-07,103148.23627191258
2023-01-08,104473.21521709199
2023-01-09,108486.25399951848
2023-01-10,109079.32203865479
2023-01-11,111468.12719263248
2023-01-12,114439.80530488839
2023-01-13,119062.0208959328
2023-01-14,128809.57617961698
2023-01-15,127851.4610789469
2023-01-16,128234.64856600462
2023-01-17,129432.12194887506
2023-01-18,121766.53259889959
2023-01-19,123983.56727642809
2023-01-20,134883.08249879017
2023-01-21,131272.78586513293
2023-01-22,132065.05730103364
2023-01-23,134607.44657745902
2023-01-24,128308.5247304489
2023-01-25,133723.88240939885
2023-01-26,134214.62933434956
2023-01-27,137624.77271314716
2023-01-28,135371.5976147048
2023-01-29,141343.45670316793
2023-01-30,132576.1136428337
2023-01-31,134020.38198785478
2023-02-01,139041.93933812485
2023-02-02,139153.84470333208
2023-02-03,142316.05516743983
2023-02-04,140647.0580935087
2023-02-05,136589.2949547917
2023-02-06,133832.7556331689
2023-02-07,140123.02015034034
2023-02-08,136701.04677472985
2023-02-09,125714.78412126235
2023-02-10,125166.0618582388
2023-02-11,126919.76458975495
2023-02-12,125629.07505487825
2023-02-13,125525.99589048041
2023-02-14,128458.31829345934
2023-02-15,137176.2853639361
2023-02-16,131480.07726427386
2023-02-17,137146.8608695455
2023-02-18,138365.27133815174
2023-02-19,139372.8944637935
2023-02-20,140880.26130384931
2023-02-21,137807.31332286427
2023-02-22,137056.47385630707
2023-02-23,136510.62585971446
2023-02-24,130724.2253777856
2023-02-25,129995.36942765143
2023-02-26,132164.07760724137
2023-02-27,130662.2960963205
2023-02-28,128895.5101519767
2023-03-01,136648.780021885
2023-03-02,134661.2148031044
2023-03-03,131373.78608339943
2023-03-04,129032.09148945194
2023-03-05,131819.9298596118
2023-03-06,130164.03476838117
2023-03-07,129017.66932409815
2023-03-08,123509.50524440914
2023-03-09,116638.39626918863
2023-03-10,115419.51454307293
2023-03-11,114634.1318624588
2023-03-12,123929.54176554154
2023-03-13,128351.51299777348
2023-03-14,128161.62827565322
2023-03-15,121598.39592988066
2023-03-16,122449.91919128677
2023-03-17,129639.99094146478
2023-03-18,126545.89358061481
2023-03-19,129328.32787315446
2023-03-20,125811.58291844856
2023-03-21,132905.8302026799
2023-03-22,126645.39008896021
2023-03-23,130387.31220918699
2023-03-24,126123.44226191928
2023-03-25,126281.66872490173
2023-03-26,127633.64718125811
2023-03-27,125157.78526175627
2023-03-28,128141.46991884813
2023-03-29,132200.45066512408
2023-03-30,130690.23480331682
2023-03-31,132545.46201052674
2023-04-01,131748.39624157347
2023-04-02,130707.22334840432
2023-04-03,129909.24334298255
2023-04-04,131898.71913407114
2023-04-05,132489.42934319095
2023-04-06,131305.18540495518
2023-04-07,131045.22698963452
2023-04-08,129981.42245059267
2023-04-09,130833.54640727055
2023-04-10,133734.05480220323
2023-04-11,134088.5419823769
2023-04-12,133705.17939085595
2023-04-13,136572.75004155454
2023-04-14,138958.05448240542
2023-04-15,138620.1959302542
2023-04-16,141005.9736555426
2023-04-17,139722.63954640052
2023-04-18,142794.7624097631
2023-04-19,132581.35392601616
2023-04-20,130129.58298900013
2023-04-21,124311.63591977532
2023-04-22,126758.53400933354
2023-04-23,125398.22257594629
2023-04-24,124630.35280499607
2023-04-25,126558.38228036555
2023-04-26,125482.3790836794
2023-04-27,128204.06172198929
2023-04-28,129217.77064496436
2023-04-29,129626.85256017571
2023-04-30,128099.56415045541
2023-05-01,125862.77121298634
2023-05-02,127029.1854758148
2023-05-03,127796.08830145208
2023-05-04,126483.95399784866
2023-05-05,130214.73524663606
2023-05-06,125701.02033148
2023-05-07,125132.35699761943
2023-05-08,121187.38637759513
2023-05-09,122622.84194508326
2023-05-10,121790.04918309477
2023-05-11,118578.25987739305
2023-05-12,120317.0342303397
2023-05-13,119459.93260592505
2023-05-14,119933.93465032287
2023-05-15,121278.44102033795
2023-05-16,121669.2645022801
2023-05-17,123353.79560248778
2023-05-18,120708.4747361753
2023-05-19,121016.19483107119
2023-05-20,121466.84995693502
2023-05-21,120079.59003220923
2023-05-22,119912.8577923213
2023-05-23,120841.63453280591
2023-05-24,117595.82336277618
2023-05-25,117714.10667627816
2023-05-26,119018.43330577099
2023-05-27,119790.56381337004
2023-05-28,122845.82567218856
2023-05-29,122050.54457375623
2023-05-30,123010.20496739478
2023-05-31,121195.9507630852
2023-06-01,120869.09349367527
2023-06-02,122858.4516695638
2023-06-03,122488.89577302951
2023-06-04,122698.98728341534
2023-06-05,116755.5497280659
2023-06-06,119702.66624618185
2023-06-07,116013.52897840683
2023-06-08,116572.6785195792
2023-06-09,115808.7535366095
2023-06-10,109769.68118280977
2023-06-11,109698.64916644218
2023-06-12,109853.12754935001
2023-06-13,110187.04910374535
2023-06-14,106367.01287014184
2023-06-15,107845.63370520281
2023-06-16,110158.67872332997
2023-06-17,110203.47465185361
2023-06-18,110434.81932565494
2023-06-19,111749.33691307783
2023-06-20,114153.15302478224
2023-06-21,121093.23008580419
2023-06-22,120048.79384258771
2023-06-23,127773.0048900192
2023-06-24,130373.0164674051
2023-06-25,128603.83340482491
2023-06-26,128018.80669460214
2023-06-27,129452.71460880377
2023-06-28,124923.02750114512
2023-06-29,129439.50910479572
2023-06-30,140565.5911618761
2023-07-01,140038.58190860413
2023-07-02,142164.8948794647
2023-07-03,143024.20535939978
2023-07-04,142717.5790302639
2023-07-05,139859.41261684013
2023-07-06,138134.73367813168
2023-07-07,139979.73335112422
2023-07-08,139356.4703135934
2023-07-09,138314.65219659248
2023-07-10,137356.01704725725
2023-07-11,138854.43661087754
2023-07-12,139833.90343785312
2023-07-13,147280.30781393283
2023-07-14,145847.18811111065
2023-07-15,145472.25246532616
2023-07-16,145494.63780986576
2023-07-17,145431.11953352165
2023-07-18,143808.30046167618
2023-07-19,146689.90899690118
2023-07-20,150930.6573054188
2023-07-21,152527.9406063098
2023-07-22,148303.35142798035
2023-07-23,149794.58399460197
2023-07-24,143752.19353442133
2023-07-25,144598.92131092874
2023-07-26,149045.27419225592
2023-07-27,149640.10259200895
2023-07-28,149585.1484485501
2023-07-29,153470.0556176175
2023-07-30,151277.14425884536
2023-07-31,150320.57578456
2023-08-01,153403.31727972138
2023-08-02,147886.4322178394
2023-08-03,145856.84962123536
2023-08-04,145181.73322579454
2023-08-05,144795.6092494485
2023-08-06,143615.72779787035
2023-08-07,143447.83430714754
2023-08-08,146513.5931898956
2023-08-09,147992.1946783761
2023-08-10,148239.82968931427
2023-08-11,147672.5014026248
2023-08-12,147671.53801218094
2023-08-13,146306.45963187117
2023-08-14,146953.3996263981
2023-08-15,143328.25615165697
2023-08-16,137726.47005301152
2023-08-17,129767.38565593117
2023-08-18,129067.86258614148
2023-08-19,129813.08201203152
2023-08-20,130303.85767714331
2023-08-21,128470.2303380465
2023-08-22,126574.7331214582
2023-08-23,129504.7069357778
2023-08-24,127644.67345054545
2023-08-25,126971.1090167526
2023-08-26,126624.04796186613
2023-08-27,128554.06332699445
2023-08-28,127615.37176465173
2023-08-29,131170.81042979448
2023-08-30,129036.71062940062
2023-08-31,126966.08804527909
2023-09-01,125751.72640777357
2023-09-02,126129.17096534825
2023-09-03,125933.802391073
2023-09-04,125029.73286028948
2023-09-05,125598.46859497101
2023-09-06,125520.40385386057
2023-09-07,126282.88665463187
2023-09-08,125661.50211152539
2023-09-09,125420.55109419383
2023-09-10,123845.19889837794
2023-09-11,120353.30484638643
2023-09-12,123356.18084609364
2023-09-13,124869.10994430177
2023-09-14,126443.95550429788
2023-09-15,130084.95507498324
2023-09-16,129879.82988871263
2023-09-17,128052.78626823159
2023-09-18,130539.57070145
2023-09-19,133278.46385082562
2023-09-20,134188.73507109596
2023-09-21,131188.98020172876
2023-09-22,131855.64943091356
2023-09-23,132590.16036965488
2023-09-24,130544.40266416546
2023-09-25,133270.98068762422
2023-09-26,134273.6895106275
2023-09-27,137102.76712194533
2023-09-28,141100.24260868737
2023-09-29,140376.0648534581
2023-09-30,142581.9174052829
2023-10-01,144796.4473301151
2023-10-02,141189.3083671899
2023-10-03,137945.52659681716
2023-10-04,138933.22238912468
2023-10-05,138286.85327727188
2023-10-06,139898.92971654228
2023-10-07,138276.21148182638
2023-10-08,138085.58636553583
2023-10-09,133904.8553733511
2023-10-10,133475.865062531
2023-10-11,133541.71247138348
2023-10-12,131853.8148846055
2023-10-13,133865.16416905052
2023-10-14,133966.80237078824
2023-10-15,134481.93839279594
2023-10-16,138848.50032259358
2023-10-17,136903.12563725415
2023-10-18,136183.45108827026
2023-10-19,138461.45362730362
2023-10-20,143485.3774882239
2023-10-21,150238.306475826
2023-10-22,155957.86873675557
2023-10-23,164632.774017648
2023-10-24,160458.85607785487
2023-10-25,163717.18664007162
2023-10-26,162790.41389592318
2023-10-27,159923.40372518168
2023-10-28,161739.84425163176
2023-10-29,164876.19242050435
2023-10-30,166479.14231539605
2023-10-31,167538.6957166128
2023-11-01,174835.0233218523
2023-11-02,172111.18782605
2023-11-03,172341.23205808311
2023-11-04,175031.14192671946
2023-11-05,176606.60016576434
2023-11-06,184064.71063371093
2023-11-07,183300.4411045307
2023-11-08,188465.16033714206
2023-11-09,189530.3083435234
2023-11-10,198869.23296838743
2023-11-11,200637.68176568655
2023-11-12,201226.11693101175
2023-11-13,190422.99450715593
2023-11-14,192300.18764582742
2023-11-15,212813.0979823667
2023-11-16,212278.8666300945
2023-11-17,212343.00931188936
2023-11-18,198534.65627391668
2023-11-19,203176.69175584934
2023-11-20,193634.94237353653
2023-11-21,179880.65565856593
2023-11-22,193632.25001720685
2023-11-23,194567.75885697635
2023-11-24,197465.6403827212
2023-11-25,200807.58547982344
2023-11-26,198538.31581832736
2023-11-27,194056.09168123797
2023-11-28,196744.31058016483
2023-11-29,195932.4107342121
2023-11-30,197726.16265984005
2023-12-01,201179.99892964205
2023-12-02,208413.96840106373
2023-12-03,206263.63667223311
2023-12-04,208453.8424313228
2023-12-05,211622.1585135564
2023-12-06,212035.82806651783
2023-12-07,217393.58291271966
2023-12-08,233412.95607365653
2023-12-09,232241.83899706465
2023-12-10,241100.17731931363
2023-12-11,229356.6151945112
2023-12-12,230269.6680883097
2023-12-13,236395.17192607338
2023-12-14,239144.967887079
2023-12-15,230941.64706150588
