date,n_eligible,n_selected,n_orders,turnover_dollars,leverage_multiplier,equity_at_open
2023-01-02,15,7,7,81635.90044772101,1.0,100000.0
2023-01-09,15,7,10,86565.16996211707,1.0,104473.21521709199
2023-01-16,15,7,8,61164.277206704995,1.0,127851.4610789469
2023-01-23,15,7,9,73095.54098442869,1.0,132065.05730103364
2023-01-30,15,7,9,79909.81967954752,1.0,141343.45670316793
2023-02-06,15,7,7,3055.0084405919933,1.0,136589.2949547917
2023-02-13,15,7,9,52683.70806782483,1.0,125629.07505487825
2023-02-20,15,7,9,80202.58083347292,1.0,139372.8944637935
2023-02-27,15,7,10,108360.50412019082,1.0,132164.07760724137
2023-03-06,15,7,8,41087.19861733871,1.0,131819.9298596118
2023-03-13,15,7,9,70586.43236643187,1.0,123929.54176554154
2023-03-20,15,7,9,71479.6619570755,1.0,129328.32787315446
2023-03-27,15,7,9,70177.55079006174,1.0,127633.64718125811
2023-04-03,15,7,9,73567.52886790018,1.0,130707.22334840432
2023-04-10,15,7,9,72162.75415185941,1.0,130833.54640727055
2023-04-17,15,7,8,42011.49954904821,1.0,141005.9736555426
2023-04-24,15,7,9,68018.12450564235,1.0,125398.22257594629
2023-05-01,15,7,8,36629.44497134873,1.0,128099.56415045541
2023-05-08,15,7,9,68324.01487904917,1.0,125132.35699761943
2023-05-15,15,7,8,32556.423495415966,1.0,119933.93465032287
2023-05-22,15,7,9,65782.72248665482,1.0,120079.59003220923
2023-05-29,15,7,8,35236.459493381335,1.0,122845.82567218856
2023-06-05,15,7,9,67176.26088147894,1.0,122698.98728341534
2023-06-12,15,7,8,30043.723702697338,1.0,109698.64916644218
2023-06-19,15,7,8,33064.3458983644,1.0,110434.81932565494
2023-06-26,15,7,9,81639.61258889674,1.0,128603.83340482491
2023-07-03,15,7,9,86189.45255934553,1.0,142164.8948794647
2023-07-10,15,7,9,78417.03042704746,1.0,138314.65219659248
2023-07-17,15,7,8,66634.85582385409,1.0,145494.63780986576
2023-07-24,15,7,7,11586.62561095275,1.0,149794.58399460197
2023-07-31,15,7,9,67276.14011705825,1.0,151277.14425884536
2023-08-07,15,7,7,2748.7137315143455,1.0,143615.72779787035
2023-08-14,15,7,9,80387.92933403916,1.0,146306.45963187117
2023-08-21,15,7,9,69446.03218756356,1.0,130303.85767714331
2023-08-28,15,7,8,36667.560319649645,1.0,128554.06332699445
2023-09-04,15,7,9,69657.06809517759,1.0,125933.802391073
2023-09-11,15,7,8,34164.3374971155,1.0,123845.19889837794
2023-09-18,15,7,10,105366.35883920605,1.0,128052.78626823159
2023-09-25,15,7,7,4078.4721310798677,1.0,130544.40266416546
2023-10-02,15,7,9,81250.51125867985,1.0,144796.4473301151
2023-10-09,15,7,8,38657.12393801664,1.0,138085.58636553583
2023-10-16,15,7,7,2317.5038641105616,1.0,134481.93839279594
2023-10-23,15,7,8,52967.705365281625,1.0,155957.86873675557
2023-10-30,15,7,9,91073.84656323167,1.0,164876.19242050435
2023-11-06,15,7,9,101536.07799306347,1.0,176606.60016576434
2023-11-13,15,7,8,92005.68618814489,1.0,201226.11693101175
2023-11-20,15,7,8,70421.28859790391,1.0,203176.69175584934
2023-11-27,15,7,8,59775.031112629644,1.0,198538.31581832736
2023-12-04,15,7,9,88467.09398209433,1.0,206263.63667223311
2023-12-11,15,7,8,82466.6158789426,1.0,241100.17731931363
2023-12-18,15,7,9,128683.9466145165,1.0,230893.67320738145
2023-12-25,15,7,8,89432.87202339589,1.0,268034.88042040373
2024-01-01,15,7,9,151650.36771437016,1.0,255712.50628793033
2024-01-08,15,7,9,131966.9055059166,1.0,232723.09815673178
2024-01-15,15,7,10,199834.00172669094,1.0,242813.03209565728
2024-01-22,15,7,9,128858.00911481395,1.0,236843.51055713702
2024-01-29,15,7,8,65082.3293532777,1.0,228045.2282353464
2024-02-05,15,7,7,11710.781224525805,1.0,236195.5040075406
2024-02-12,15,7,10,211491.62784320168,1.0,255328.32428375562
2024-02-19,15,7,9,144800.59601219514,1.0,260390.02047831757
2024-02-26,15,7,8,94748.24506169153,1.0,270888.78428983205
2024-03-04,15,7,9,214713.69453826934,1.0,305630.6732949426
2024-03-11,15,7,9,186608.7072939802,1.0,319611.8762366625
2024-03-18,15,7,9,186057.22330748112,1.0,312257.8482106766
2024-03-25,15,7,8,107806.90454985824,1.0,316496.0710953141
2024-04-01,15,7,9,167777.67356266855,1.0,361908.74236244726
2024-04-08,15,7,7,11252.91947511072,1.0,341649.787637368
2024-04-15,15,7,9,158414.2842981298,1.0,286438.0377512537
2024-04-22,15,7,7,5120.381859676753,1.0,284223.54368313623
2024-04-29,15,7,9,152246.7466154457,1.0,280008.51963668474
2024-05-06,15,7,9,152981.05071541865,1.0,277680.6088893233
2024-05-13,15,7,10,212640.5873729909,1.0,261209.89458444752
2024-05-20,15,7,10,225527.06858296494,1.0,273514.29050371633
2024-05-27,15,7,10,257700.88681296332,1.0,295272.75959580333
2024-06-03,15,7,8,88662.6204312429,1.0,285950.37743139244
2024-06-10,15,7,8,86756.95016706103,1.0,279856.06758520653
2024-06-17,15,7,9,157202.93710390144,1.0,275721.98590646824
2024-06-24,15,7,8,77492.68766427948,1.0,258938.82484702457
2024-07-01,15,7,8,79286.2235435612,1.0,261776.08887479012
2024-07-08,15,7,10,183808.50313348626,1.0,229355.73269258093
2024-07-15,15,7,8,82198.66277603306,1.0,256708.02350703903
2024-07-22,15,7,8,87633.99737365168,1.0,270553.2860482675
2024-07-29,15,7,10,207665.55967250236,1.0,257684.10917000583
2024-08-05,15,7,8,69677.12082416608,1.0,223751.19351896195
2024-08-12,15,7,8,64169.440132609365,1.0,223106.7550458741
2024-08-19,15,7,8,70132.62706441562,1.0,230493.72795331123
2024-08-26,15,7,9,138244.8152339458,1.0,247242.88700434144
2024-09-02,15,7,8,64198.721308628825,1.0,222330.2411574978
2024-09-09,15,7,9,123802.9602943416,1.0,221694.4895919866
2024-09-16,15,7,10,189643.03144087832,1.0,229899.32024611143
2024-09-23,15,7,10,199056.17656085515,1.0,240284.69325001785
2024-09-30,15,7,9,141055.94418209422,1.0,250085.0395140919
2024-10-07,15,7,9,124503.05200914454,1.0,231194.71728326855
2024-10-14,15,7,8,65143.592288343374,1.0,233173.27811649596
2024-10-21,15,7,9,142843.79529633492,1.0,249865.5933039494
2024-10-28,15,7,7,6384.343560033896,1.0,247431.7919078022
2024-11-04,15,7,7,8370.558605864006,1.0,241588.4216311793
2024-11-11,15,7,10,306265.2422217243,1.0,309087.17404783797
2024-11-18,15,7,12,423729.2492445766,1.0,311563.1569244392
2024-11-25,15,7,9,222603.30538890942,1.0,382397.6908612645
2024-12-02,15,7,9,266989.44180056424,1.0,431785.989439924
2024-12-09,15,7,8,195302.0735333446,1.0,528334.5942012335
2024-12-16,15,7,8,154710.43253961005,1.0,492863.0944223299
2024-12-23,15,7,9,167958.13074093932,1.0,397559.0729974516
2024-12-30,15,7,8,115045.42802553475,1.0,388768.97597362555
