,equity
2010-01-04,100875.28496085768
2010-01-05,102083.02922546034
2010-01-06,102179.6478997386
2010-01-07,102178.52757989531
2010-01-08,102362.68460666304
2010-01-11,102326.41522609358
2010-01-12,99901.63834678297
2010-01-13,101010.87642919188
2010-01-14,100754.12456285124
2010-01-15,99140.9427305377
2010-01-19,100458.50293885832
2010-01-20,99348.36961709624
2010-01-21,97846.85619031554
2010-01-22,94320.85032235747
2010-01-25,94795.90269385939
2010-01-26,94689.48930894499
2010-01-27,95012.62712775831
2010-01-28,92972.103817097
2010-01-29,91088.93990289335
2010-02-01,93677.24636949875
2010-02-02,95066.82643093445
2010-02-03,94408.9556714473
2010-02-04,90289.72582687714
2010-02-05,90538.46238483765
2010-02-08,90193.54298557618
2010-02-09,91784.77172197678
2010-02-10,91586.65103449204
2010-02-11,92981.62325491288
2010-02-12,92793.17367758133
2010-02-16,94927.26461328843
2010-02-17,95286.8741136966
2010-02-18,95951.75986780503
2010-02-19,96168.21840872147
2010-02-22,96368.88559975007
2010-02-23,94865.60264171936
2010-02-24,96018.26045622208
2010-02-25,95694.64444221833
2010-02-26,96015.56606354096
2010-03-01,98219.35486242497
2010-03-02,98646.68015644276
2010-03-03,98707.52774879658
2010-03-04,98965.40356323445
2010-03-05,101101.65739128315
2010-03-08,101506.62155983174
2010-03-09,101977.7419640752
2010-03-10,103405.11945554936
2010-03-11,103750.28119871342
2010-03-12,103847.99864837849
2010-03-15,103213.78332826817
2010-03-16,104824.58623430454
2010-03-17,106047.67151853764
2010-03-18,105267.2273232671
2010-03-19,103484.3526761266
2010-03-22,105886.70088026249
2010-03-23,107140.6666314336
2010-03-24,106728.18010208332
2010-03-25,106299.9984919759
2010-03-26,106750.77096912586
2010-03-29,107631.5885026189
2010-03-30,107605.59217807972
2010-03-31,106925.3157374593
2010-04-01,107985.32491620128
2010-04-05,110375.7882536227
2010-04-06,110714.43425973003
2010-04-07,109834.3534882838
2010-04-08,110800.21522267406
2010-04-09,111643.3580053622
2010-04-12,112059.4540112788
2010-04-13,112267.10626729076
2010-04-14,114733.46818335597
2010-04-15,114577.62907107417
2010-04-16,111970.1442497546
2010-04-19,111042.76626380031
2010-04-20,113102.44302685802
2010-04-21,113406.02319224422
2010-04-22,115408.95205386226
2010-04-23,117096.3055237109
2010-04-26,117353.42761691158
2010-04-27,113004.10110934322
2010-04-28,113361.35597880428
2010-04-29,116136.44647009914
2010-04-30,112390.99241240566
2010-05-03,115329.65625296746
2010-05-04,111070.5124794117
2010-05-05,109767.71780739937
2010-05-06,105217.4113198391
2010-05-07,102215.41602193032
2010-05-10,109568.75167189751
2010-05-11,109256.9373918644
2010-05-12,112659.69387303505
2010-05-13,110802.83063708458
2010-05-14,107314.99814330254
2010-05-17,107365.39790497933
2010-05-18,104975.54071437035
2010-05-19,104162.41231642876
2010-05-20,99029.855540382
2010-05-21,102071.06638966713
2010-05-24,100619.19760142479
2010-05-25,101061.14620600853
2010-05-26,100945.62126742516
2010-05-27,106154.17696725045
2010-05-28,104357.71237145577
2010-06-01,101704.803042884
2010-06-02,105286.6505670501
2010-06-03,106266.89396810067
2010-06-04,100854.99127673639
2010-06-07,97621.7500967933
2010-06-08,98733.59409904016
2010-06-09,98707.70168590081
2010-06-10,102525.60545682443
2010-06-11,103912.02851104272
2010-06-14,104474.91609525216
2010-06-15,107897.23225020898
2010-06-16,107932.36048459543
2010-06-17,107571.79309796823
2010-06-18,107336.16037559045
2010-06-21,106738.5564885093
2010-06-22,103800.77535199655
2010-06-23,104315.9243779136
2010-06-24,101711.41453933252
2010-06-25,102675.56638955606
2010-06-28,101643.63239144815
2010-06-29,96257.3354849769
2010-06-30,95245.59218453897
2010-07-01,94786.07224130354
2010-07-02,93227.09796619139
2010-07-06,92705.78616094313
2010-07-07,97084.04064988813
2010-07-08,98113.54863023481
2010-07-09,99536.50816440306
2010-07-12,99165.04109382353
2010-07-13,101979.2275629016
2010-07-14,102119.43453073225
2010-07-15,101500.08369111738
2010-07-16,97796.38246392927
2010-07-19,98174.76839828215
2010-07-20,99991.35382032118
2010-07-21,98726.59871244154
2010-07-22,102549.97859716139
2010-07-23,104479.30179929457
2010-07-26,106738.46101474485
2010-07-27,105586.61415004454
2010-07-28,104781.78491115294
2010-07-29,104328.76812267027
2010-07-30,104524.96083545408
2010-08-02,107140.27192012685
2010-08-03,106335.26529685872
2010-08-04,107367.23576061147
2010-08-05,106676.04659549611
2010-08-06,106273.74797622579
2010-08-09,107213.91323987859
2010-08-10,105993.42169706243
2010-08-11,102491.29629651921
2010-08-12,101902.07759420293
2010-08-13,101603.51427881139
2010-08-16,101754.47862140553
2010-08-17,103676.27503196614
2010-08-18,104197.0115083875
2010-08-19,102131.73702613729
2010-08-20,102378.63333932775
2010-08-23,101358.46222440618
2010-08-24,99349.68667451756
2010-08-25,100192.45266906636
2010-08-26,99415.57128230947
2010-08-27,101635.5293521108
2010-08-30,99667.25519172566
