date,n_eligible,n_selected,n_orders,turnover_dollars,leverage_multiplier,equity_at_open
2010-01-04,364,50,50,98709.89568413132,1.0,100000.0
2010-02-01,361,50,60,51065.09356692928,1.0,91088.93990289335
2010-03-01,363,50,60,51308.980923355426,1.0,96015.56606354096
2010-04-01,370,50,57,46911.13771831129,1.0,106925.3157374593
2010-05-03,373,50,60,63119.20736244937,1.0,112390.99241240566
2010-06-01,373,50,63,60889.69581706976,1.0,104357.71237145577
2010-07-01,371,50,60,48834.376890391555,1.0,95245.59218453897
2010-08-02,377,50,64,70319.27473548254,1.0,104524.96083545408
2010-09-01,367,50,64,63441.88752608972,1.0,99966.38986865895
2010-10-01,371,50,63,76640.2703935856,1.0,112852.55581350822
2010-11-01,371,50,58,67752.73929029859,1.0,118252.23204256344
2010-12-01,374,50,56,58009.73320010776,1.0,123244.97780743174
2011-01-03,378,50,60,66772.36909128194,1.0,129419.6784166758
2011-02-01,377,50,56,57272.37917103603,1.0,130192.21579792633
2011-03-01,381,50,62,85384.69674735777,1.0,134708.63947551226
2011-04-01,385,50,67,100888.83869794555,1.0,136853.08878488274
2011-05-02,387,50,58,76509.97325316106,1.0,139534.39118266088
2011-06-01,390,50,59,76325.8758726887,1.0,137519.99347257632
2011-07-01,392,50,60,69592.54300019264,1.0,138159.9151229858
2011-08-01,392,50,61,79369.27320943338,1.0,136461.13589712238
2011-09-01,399,50,61,76031.73636035773,1.0,127435.59786066973
2011-10-03,391,50,64,70601.3148114025,1.0,115917.02061854985
2011-11-01,397,50,63,92397.17485499618,1.0,131718.3739839779
2011-12-01,395,50,64,91195.67723514752,1.0,132682.11458413012
2012-01-03,393,50,56,62171.132529057286,1.0,131414.42445387604
2012-02-01,395,50,62,82044.59971074028,1.0,136885.15151262446
2012-03-01,398,50,61,98597.8233670431,1.0,144158.71934190212
2012-04-02,401,50,57,68987.88405673012,1.0,150907.74090821063
2012-05-01,399,50,54,48286.251830986635,1.0,154506.46497024706
2012-06-01,397,50,58,66447.19626893861,1.0,145691.90905874403
2012-07-02,401,50,60,87280.02883383374,1.0,147531.79484503652
2012-08-01,400,50,62,99365.12589873809,1.0,148496.0251288771
2012-09-04,396,50,69,127680.09981988036,1.0,152652.50716351764
2012-10-01,396,50,61,95245.84347212421,1.0,156613.76563875814
2012-11-01,392,50,62,94326.15167931352,1.0,156991.65197658207
2012-12-03,398,50,64,111079.39424172536,1.0,160994.60135372006
2013-01-02,399,50,59,84737.95809771147,1.0,165663.85877199366
2013-02-01,405,50,56,68373.12696481854,1.0,176188.0558999651
2013-03-01,406,50,59,76921.76886398435,1.0,178849.86913730626
2013-04-01,410,50,58,91762.7297571562,1.0,187906.21939578874
2013-05-01,411,50,63,130616.76158171237,1.0,189995.37489659264
2013-06-03,412,50,63,121136.03510994682,1.0,197813.39279617346
2013-07-01,415,50,57,92428.76981390206,1.0,193239.23669996616
2013-08-01,418,50,67,168164.08786838452,1.0,207143.78023619397
2013-09-03,419,50,58,98611.73491261808,1.0,204736.77533124562
2013-10-01,419,50,59,95440.88237702182,1.0,219226.91190882822
2013-11-01,422,50,66,162999.1529457407,1.0,229413.2945187013
2013-12-02,427,50,59,132490.98008214546,1.0,236399.73755686652
2014-01-02,428,50,58,113021.94482993653,1.0,243843.3940912579
2014-02-03,430,50,56,94924.6671072262,1.0,248252.63936541096
2014-03-03,434,50,55,104305.66698159414,1.0,263048.90203477355
2014-04-01,435,50,65,164398.00581663125,1.0,254296.5814719772
