,equity
2019-01-02,100894.97390181116
2019-01-03,98235.88301378778
2019-01-04,101685.86056047968
2019-01-07,103549.71027475885
2019-01-08,105062.66618353418
2019-01-09,105907.98498159937
2019-01-10,106050.19686419061
2019-01-11,106114.74711042932
2019-01-14,105468.68317514948
2019-01-15,107357.62442404321
2019-01-16,107473.41443354181
2019-01-17,108313.73643118433
2019-01-18,109404.8702955871
2019-01-22,107945.34440046838
2019-01-23,108064.3974905639
2019-01-24,107903.14594942621
2019-01-25,109084.10803324274
2019-01-28,108122.5023098617
2019-01-29,107577.75908762506
2019-01-30,109564.18164736322
2019-01-31,111013.66082006982
2019-02-01,111419.41767682873
2019-02-04,112044.11954297863
2019-02-05,112367.08110132061
2019-02-06,112444.01830949627
2019-02-07,112752.54521360241
2019-02-08,113915.08722200237
2019-02-11,114504.87087621533
2019-02-12,115195.57482900463
2019-02-13,115247.0389794334
2019-02-14,115580.23376169048
2019-02-15,116205.85976209484
2019-02-19,116214.59055127941
2019-02-20,115969.78549089275
2019-02-21,116127.54193487011
2019-02-22,117320.70568837963
2019-02-25,116969.97794904553
2019-02-26,116886.23289480053
2019-02-27,116845.99218454205
2019-02-28,116552.76901807629
2019-03-01,117279.4812865633
2019-03-04,116036.62381414356
2019-03-05,116315.64680341663
2019-03-06,115247.89604429188
2019-03-07,114731.86115888538
2019-03-08,114531.48875669422
2019-03-11,115982.75929788532
2019-03-12,116629.79478029194
2019-03-13,117132.7276139635
2019-03-14,117168.11552671375
2019-03-15,117477.18759206714
2019-03-18,117567.89183191242
2019-03-19,117899.83109144153
2019-03-20,117975.17037347736
2019-03-21,120195.58265737476
2019-03-22,118360.31673864307
2019-03-25,118762.09870962086
2019-03-26,118949.74510053577
2019-03-27,118238.87724546375
2019-03-28,119335.55731157245
2019-03-29,119924.40799097004
2019-04-01,120458.61923200791
2019-04-02,120421.40986330216
2019-04-03,121055.7710417003
2019-04-04,120259.45872385209
2019-04-05,121134.62399847215
2019-04-08,121158.30127126878
2019-04-09,120733.60285646623
2019-04-10,122109.50906927293
2019-04-11,122091.74608785813
2019-04-12,122075.42783147996
2019-04-15,122081.18011266892
2019-04-16,120918.71945554917
2019-04-17,119391.280521223
2019-04-18,119740.96956045335
2019-04-22,119756.68238336747
2019-04-23,121620.76836759751
2019-04-24,122057.31149179643
2019-04-25,121788.76883775895
2019-04-26,122656.87286741441
2019-04-29,122142.66509229844
2019-04-30,122163.50877840226
2019-05-01,121229.11298224326
2019-05-02,122151.06166598196
2019-05-03,123248.33649966116
2019-05-06,123241.80011984702
2019-05-07,121122.71919772025
2019-05-08,121298.11687037344
2019-05-09,121124.8684239089
2019-05-10,121992.71248099204
2019-05-13,118978.6247067153
2019-05-14,120543.05260130759
2019-05-15,121358.46953913565
2019-05-16,122586.95055052634
2019-05-17,121716.79986521597
2019-05-20,120505.4450268447
2019-05-21,122036.19937178488
2019-05-22,122247.42612406607
2019-05-23,120447.56638190146
2019-05-24,121241.74175211783
2019-05-28,121193.43827196951
2019-05-29,119873.09527155753
2019-05-30,120836.25845763083
2019-05-31,119955.3902687728
2019-06-03,119128.37069306412
2019-06-04,121667.11114869156
2019-06-05,123188.01213059464
2019-06-06,124174.32888016739
2019-06-07,125501.07878670731
2019-06-10,126007.69767174759
2019-06-11,125835.02747521439
2019-06-12,126681.42679200211
2019-06-13,126980.7629526619
2019-06-14,126575.07051072159
2019-06-17,126714.66502556839
2019-06-18,127909.60182175675
2019-06-19,128753.35991654434
2019-06-20,129512.60675988236
2019-06-21,128201.1471651558
2019-06-24,127827.4366434578
2019-06-25,126162.67973885575
2019-06-26,125391.57159600296
2019-06-27,126477.4229010109
2019-06-28,127293.05745682755
2019-07-01,128655.92201992947
2019-07-02,129800.12301442104
2019-07-03,131415.9435214706
2019-07-05,131329.19794079737
2019-07-08,130946.24894139248
2019-07-09,131217.49851986842
2019-07-10,131717.80562016444
2019-07-11,131741.0991248794
2019-07-12,132266.41299626307
2019-07-15,132582.56108662562
2019-07-16,132227.96518132166
2019-07-17,131708.7449035354
2019-07-18,132637.21585080103
2019-07-19,131091.0554065414
2019-07-22,131262.49892041163
2019-07-23,131141.07907864527
2019-07-24,131320.9430789657
2019-07-25,131012.48589131313
2019-07-26,132010.90117451624
2019-07-29,131629.5238704391
2019-07-30,131477.45652386622
2019-07-31,131072.99722287135
2019-08-01,130564.27426846435
2019-08-02,129247.27168496062
2019-08-05,125748.56261284759
2019-08-06,128475.56019909789
2019-08-07,129910.34064419677
2019-08-08,132932.94093163422
2019-08-09,132530.9288867276
2019-08-12,130539.76001389434
2019-08-13,132178.05419762543
2019-08-14,128099.00726540496
2019-08-15,129304.57387574126
2019-08-16,131198.93251069
2019-08-19,132506.05252297333
2019-08-20,132207.44068940094
2019-08-21,133985.0433562558
2019-08-22,134500.61301262787
2019-08-23,131544.6226180356
2019-08-26,133138.27882225922
2019-08-27,132969.22640259675
2019-08-28,133363.0683272641
2019-08-29,134661.42242653779
2019-08-30,133520.00482209137
2019-09-03,132590.47588339026
2019-09-04,133686.942066099
2019-09-05,133999.39445676978
2019-09-06,134086.53865423377
2019-09-09,130896.4912356394
2019-09-10,128094.75024976904
2019-09-11,128523.14402952368
2019-09-12,129323.77749052222
2019-09-13,128305.62317266638
2019-09-16,128315.23260679419
2019-09-17,130358.94131651099
2019-09-18,130497.16764249976
2019-09-19,130795.72834577734
2019-09-20,130355.82540693457
2019-09-23,130652.43483534033
2019-09-24,129613.39938726599
2019-09-25,129700.33363332922
2019-09-26,129867.75378408606
2019-09-27,128133.83438291724
2019-09-30,129051.19750013525
2019-10-01,127857.4083540864
2019-10-02,126371.61457280588
2019-10-03,127796.40879659128
2019-10-04,129347.16341046762
2019-10-07,129017.29181317758
2019-10-08,127483.05673436593
2019-10-09,128985.39561109018
2019-10-10,129357.59105901193
2019-10-11,129310.84716062021
2019-10-14,129120.79886083078
2019-10-15,129366.51472310495
2019-10-16,128806.45603970956
2019-10-17,129510.55256108713
2019-10-18,129518.57758168649
2019-10-21,130113.11723546457
2019-10-22,127910.47246579599
2019-10-23,128228.54336194467
2019-10-24,129535.98366956186
2019-10-25,128901.96631459665
2019-10-28,129105.12832097482
2019-10-29,129218.594101233
2019-10-30,129493.5071909852
2019-10-31,129105.77670316171
2019-11-01,129788.94880274673
2019-11-04,128953.74200800796
2019-11-05,128527.99424151321
2019-11-06,128955.37596873184
2019-11-07,128698.62904909988
2019-11-08,129215.47286013504
2019-11-11,129998.58252695938
2019-11-12,130511.37472704788
2019-11-13,131265.36760119337
2019-11-14,131916.77997950453
2019-11-15,132804.3646409883
2019-11-18,133373.12467554945
2019-11-19,133847.16139773268
2019-11-20,133880.4145601167
2019-11-21,132294.96961382765
2019-11-22,132188.36540774244
2019-11-25,134089.47787836927
2019-11-26,135179.98516444105
2019-11-27,136173.63936404127
2019-11-29,135194.46991900343
2019-12-02,133300.97647812145
2019-12-03,132904.05517151134
2019-12-04,133547.7021622874
2019-12-05,133628.831558726
2019-12-06,134205.7623601176
2019-12-09,133701.04539348857
2019-12-10,133516.70759918468
2019-12-11,134510.54159881847
2019-12-12,134464.50647022502
2019-12-13,135018.85818722026
2019-12-16,136019.94734337108
2019-12-17,136321.4694800593
2019-12-18,135877.38426162975
2019-12-19,136687.91714050548
2019-12-20,137716.1744437434
