date,n_eligible,n_selected,n_orders,turnover_dollars,leverage_multiplier,equity_at_open
2019-01-02,467,50,50,94172.5247964234,1.0,100000.0
2019-02-01,468,50,58,76382.64597037355,1.0,111013.66082006982
2019-03-01,469,50,59,76401.59062150035,1.0,116552.76901807629
2019-04-01,470,50,61,91738.41117435298,1.0,119924.40799097004
2019-05-01,470,50,53,61527.536657438926,1.0,122163.50877840226
2019-06-03,470,50,54,69257.02004919089,1.0,119955.3902687728
2019-07-01,471,50,55,79245.60534438197,1.0,127293.05745682755
2019-08-01,470,50,52,88432.84750434937,1.0,131072.99722287135
2019-09-03,470,50,50,86604.39486825708,1.0,133520.00482209137
2019-10-01,470,50,56,91835.31296140084,1.0,129051.19750013525
2019-11-01,470,50,65,112697.91426885831,1.0,129105.77670316171
2019-12-02,471,50,57,85722.73009339569,1.0,135194.46991900343
2020-01-02,472,50,58,94112.37066076465,1.0,137522.45891144054
2020-02-03,473,50,53,75825.29381570271,1.0,140572.22668456036
2020-03-02,473,50,51,65748.2309496738,1.0,133485.4993081038
2020-04-01,475,50,60,74282.19210091596,0.5,114559.20617871254
2020-05-01,476,50,60,51922.19533402253,0.5,120862.5697030783
2020-06-01,477,50,46,32834.17846910102,0.5,124294.31945328001
2020-07-01,478,50,43,30582.2120198582,0.5,125783.41485732864
2020-08-03,478,50,62,91997.6936455984,1.0,130309.08778506416
2020-09-01,478,50,53,80380.75869139747,1.0,137618.06403239732
2020-10-01,478,50,53,77808.25438180755,1.0,133360.98928572878
2020-11-02,479,50,48,52587.91384109299,1.0,132003.12395746692
2020-12-01,479,50,56,76447.35049899646,1.0,147588.19960324
2021-01-04,480,50,51,83073.5146965179,1.0,155592.67263349274
2021-02-01,481,50,48,62783.29303557989,1.0,157856.74329647637
2021-03-01,481,50,58,88720.91569523868,1.0,164125.55520801252
2021-04-01,483,50,73,191478.36520682616,1.0,164665.38298744557
2021-05-03,483,50,60,122286.14643836065,1.0,172945.02873846595
2021-06-01,483,50,47,76780.84006328152,1.0,178003.54695620947
2021-07-01,483,50,51,74326.03805023272,1.0,179402.02186413313
2021-08-02,483,50,54,99348.76604132868,1.0,179008.86897763648
2021-09-01,482,50,56,93857.31689524528,1.0,184553.71692125214
2021-10-01,484,50,51,92967.27550374584,1.0,180317.4917337094
2021-11-01,484,50,59,121020.18206682424,1.0,196619.86842802574
2021-12-01,484,50,60,128192.13250570887,1.0,186199.55975298973
2022-01-03,486,50,62,145430.69406582002,1.0,189035.91113072797
2022-02-01,486,50,60,113201.34373900775,1.0,178490.1422385308
2022-03-01,487,50,63,149160.5342411458,1.0,178259.66071435768
2022-04-01,487,50,66,163265.6762779246,1.0,187573.67619862437
2022-05-02,488,50,51,68509.99598914148,1.0,174587.0874625453
2022-06-01,489,50,61,105280.52582805483,1.0,182833.36172487904
2022-07-01,488,50,57,89311.44186802798,1.0,163191.52316935844
2022-08-01,489,50,51,70050.47921417309,1.0,174588.4667992639
2022-09-01,488,50,54,86240.48991604785,1.0,176882.50327133486
2022-10-03,488,50,51,69648.08402333208,1.0,164132.7188844436
2022-11-01,489,50,55,102723.35524892838,1.0,189378.78355258587
2022-12-01,489,50,47,90470.5609286515,1.0,195972.00178114118
2023-01-03,489,50,46,57010.601223787446,1.0,186205.53604232636
2023-02-01,490,50,58,103280.91375446622,1.0,189534.84579207114
2023-03-01,490,50,58,106197.12801897363,1.0,185405.16403598993
2023-04-03,490,50,60,139747.17235623632,1.0,185771.8987044923
2023-05-01,490,50,62,151311.72742283056,1.0,189450.14236666803
2023-06-01,490,50,60,132473.40153772326,1.0,191790.45629056633
2023-07-03,490,50,60,127749.94121958554,1.0,206318.73412688792
2023-08-01,490,50,52,109496.80270040968,1.0,211878.41960688162
2023-09-01,490,50,59,128005.87900503699,1.0,206245.1458250474
2023-10-02,490,50,56,98995.44678967143,1.0,194067.28593134964
2023-11-01,490,50,55,98597.34965454199,1.0,185170.4126597338
2023-12-01,490,50,50,102282.42712857574,1.0,209426.58728489594
2024-01-02,491,50,50,107885.94576306398,1.0,220653.8849534908
2024-02-01,491,50,46,101830.358680589,1.0,229902.34539817995
2024-03-01,491,50,51,100937.28874056845,1.0,259310.5183200157
2024-04-01,491,50,58,165292.12484400213,1.0,271284.33488280256
2024-05-01,491,50,44,73121.73633268244,1.0,258543.51417953198
2024-06-03,492,50,58,170971.52956946698,1.0,272695.46815692313
2024-07-01,492,50,50,126019.27036937956,1.0,273369.40194567933
2024-08-01,493,50,48,111153.30349028498,1.0,271637.45584568597
2024-09-03,493,50,58,202530.6693672736,1.0,279342.4220748631
2024-10-01,493,50,56,127756.08324721383,1.0,290649.0105677701
2024-11-01,494,50,56,177746.48854536368,1.0,288316.67078244407
2024-12-02,494,50,59,211789.4681849954,1.0,321384.4308603046
