,equity
2023-01-03,98049.13551000005
2023-01-04,98443.58551
2023-01-05,98807.14551000005
2023-01-06,101123.21551000001
2023-01-09,100927.97551
2023-01-10,101382.77551
2023-01-11,101601.91550999999
2023-01-12,103008.28551000002
2023-01-13,103238.95550999997
2023-01-17,103246.73551000006
2023-01-18,101685.26550999998
2023-01-19,101412.25551000003
2023-01-20,102173.40550999998
2023-01-23,102481.77550999999
2023-01-24,102336.44051000003
2023-01-25,102567.18551
2023-01-26,104032.09551000003
2023-01-27,103172.51551
2023-01-30,101951.71551000005
2023-01-31,102990.63551000002
2023-02-01,102641.26930000004
2023-02-02,101196.11930000003
2023-02-03,101185.0093
2023-02-06,100886.3593
2023-02-07,102084.10929999998
2023-02-08,101706.8693
2023-02-09,101067.7793
2023-02-10,102943.08929999999
2023-02-13,103260.39930000002
2023-02-14,103322.68930000001
2023-02-15,103108.83930000002
2023-02-16,102537.29930000001
2023-02-17,101653.84930000002
2023-02-21,100666.02930000001
2023-02-22,100577.4493
2023-02-23,101410.65930000003
2023-02-24,101575.3293
2023-02-27,101763.1493
2023-02-28,100870.4993
2023-03-01,102098.06399500005
2023-03-02,102373.123995
2023-03-03,103695.77399500001
2023-03-06,103548.253995
2023-03-07,102275.833995
2023-03-08,101943.13399500005
2023-03-09,100257.08399499996
2023-03-10,98568.09399500002
2023-03-13,97226.81399500005
2023-03-14,98442.27399500003
2023-03-15,95609.09399500003
2023-03-16,97032.52399500003
2023-03-17,95270.21399500003
2023-03-20,96944.19399500002
2023-03-21,98796.55399500004
2023-03-22,97093.09399500003
2023-03-23,96656.94399500005
2023-03-24,97064.20399500003
2023-03-27,98011.04399500003
2023-03-28,98549.39399500003
2023-03-29,99600.23399500005
2023-03-30,99850.64399500008
2023-03-31,100990.593995
2023-04-03,102229.32936500001
2023-04-04,100338.47936500004
2023-04-05,100233.809365
2023-04-06,99863.97936500004
2023-04-10,100992.41936500008
2023-04-11,101451.289365
2023-04-12,101495.99936500003
2023-04-13,101736.89936500003
2023-04-14,101836.37936500004
2023-04-17,102077.91936500002
2023-04-18,102737.649365
2023-04-19,102094.34936500002
2023-04-20,102366.47936499999
2023-04-21,102158.089365
2023-04-24,102408.55936500004
2023-04-25,101367.02936500002
2023-04-26,100650.289365
2023-04-27,101588.02936500005
2023-04-28,102321.36936500002
2023-05-01,102723.38039050007
